rank,username,pr_count,review_comments,formal_reviews,avg_comment_length,first_seen,last_seen,score
1,liggitt,63,380,240,167.1,2026-01-30,2026-07-22,0.6500
2,macsko,31,587,127,105.2,2025-09-29,2026-07-10,0.6062
3,pohly,65,308,264,147.3,2025-05-13,2026-07-22,0.5983
4,mm4tt,27,389,122,225.9,2026-06-23,2026-07-22,0.5252
5,jpbetz,41,193,101,163.2,2026-03-13,2026-07-22,0.4186
6,soltysh,37,194,84,153.0,2025-02-07,2026-07-22,0.3948
7,everettraven,1,4,1,562.6,2026-03-09,2026-03-09,0.3073
8,nmn3m,1,2,1,742.0,2026-03-28,2026-03-28,0.3060
9,towca,1,2,2,1004.2,2026-06-17,2026-06-23,0.3060
10,KevinTMtz,1,1,1,493.0,2026-03-16,2026-03-16,0.3011
11,neolit123,9,9,15,391.9,2026-05-29,2026-07-01,0.2828
12,ArchanaAnand0212,1,4,4,456.0,2026-06-26,2026-07-02,0.2809
13,thockin,11,120,37,237.1,2026-03-15,2026-07-20,0.2748
14,singh1203,1,0,1,447.0,2026-05-08,2026-05-08,0.2728
15,CatherineF-dev,1,1,1,438.0,2026-07-10,2026-07-10,0.2681
16,x13n,1,1,1,425.5,2026-06-26,2026-06-26,0.2606
17,Argh4k,15,146,67,134.7,2026-04-10,2026-07-21,0.2496
18,dom4ha,15,78,35,204.9,2025-11-04,2026-07-21,0.2454
19,ffromani,17,113,45,145.8,2025-03-04,2026-07-22,0.2429
20,SergeyKanzhelev,32,51,78,78.2,2026-02-09,2026-07-22,0.2294
21,jayaddison,1,2,2,357.2,2026-06-11,2026-07-22,0.2203
22,tallclair,16,107,44,117.7,2024-10-23,2026-07-22,0.2174
23,sanposhiho,14,50,33,191.4,2025-11-23,2026-07-21,0.2135
24,natasha41575,6,25,17,280.8,2026-03-18,2026-07-22,0.2132
25,harche,4,7,5,305.8,2026-03-09,2026-06-26,0.2067
26,danwinship,7,79,23,189.3,2025-07-02,2026-07-21,0.1997
27,yongruilin,14,68,39,141.2,2026-03-18,2026-07-22,0.1957
28,ania-borowiec,8,105,20,144.8,2026-06-25,2026-07-21,0.1954
29,HirazawaUi,18,24,25,148.7,2025-03-04,2026-07-21,0.1886
30,AutuSnow,2,11,8,276.5,2026-03-12,2026-07-22,0.1826
31,aaron-prindle,2,7,7,280.3,2026-03-10,2026-04-08,0.1822
32,atiratree,3,21,11,255.5,2026-03-12,2026-07-20,0.1815
33,nimdrak,1,2,2,289.2,2025-10-29,2026-02-21,0.1795
34,shivamerla,1,2,2,287.8,2026-07-15,2026-07-17,0.1786
